,0
1258,4.08E-05
1259,4.09E-05
1260,4.09E-05
1261,4.09E-05
1262,4.09E-05
1263,4.09E-05
1324,4.09E-05
1323,4.09E-05
1322,4.09E-05
1321,4.09E-05
1320,4.09E-05
1319,4.09E-05
1318,4.09E-05
1317,4.09E-05
1309,4.09E-05
1315,4.09E-05
1314,4.09E-05
1313,4.09E-05
1312,4.09E-05
1311,4.09E-05
1310,4.09E-05
1325,4.09E-05
1308,4.09E-05
1316,4.09E-05
1326,4.09E-05
1334,4.09E-05
1328,4.09E-05
1347,4.09E-05
1345,4.09E-05
1344,4.09E-05
1343,4.09E-05
1342,4.09E-05
1341,4.09E-05
1340,4.09E-05
1339,4.09E-05
1327,4.09E-05
1338,4.09E-05
1336,4.09E-05
1335,4.09E-05
1307,4.09E-05
1333,4.09E-05
1332,4.09E-05
1331,4.09E-05
1330,4.09E-05
1329,4.09E-05
1337,4.09E-05
1306,4.09E-05
1346,4.09E-05
1304,4.09E-05
1281,4.09E-05
1280,4.09E-05
1279,4.09E-05
1278,4.09E-05
1277,4.09E-05
1276,4.09E-05
1275,4.09E-05
1274,4.09E-05
1273,4.09E-05
1272,4.09E-05
1271,4.09E-05
1269,4.09E-05
1268,4.09E-05
1267,4.09E-05
1266,4.09E-05
1265,4.09E-05
1264,4.09E-05
1282,4.09E-05
1283,4.09E-05
1270,4.09E-05
1285,4.09E-05
1284,4.09E-05
1303,4.09E-05
1302,4.09E-05
1301,4.09E-05
1300,4.09E-05
1299,4.09E-05
1298,4.09E-05
1297,4.09E-05
1296,4.09E-05
1305,4.09E-05
1294,4.09E-05
1293,4.09E-05
1295,4.09E-05
1292,4.09E-05
1291,4.09E-05
1290,4.09E-05
1289,4.09E-05
1288,4.09E-05
1286,4.09E-05
1287,4.09E-05
1348,4.09E-05
1349,4.10E-05
1350,4.10E-05
1351,4.10E-05
1352,4.10E-05
1357,4.11E-05
1355,4.11E-05
1356,4.11E-05
1353,4.11E-05
1354,4.11E-05
1358,4.11E-05
1359,4.12E-05
1360,4.13E-05
1361,4.13E-05
1362,4.13E-05
1364,4.14E-05
1365,4.14E-05
1363,4.14E-05
1366,4.14E-05
1367,4.14E-05
1368,4.14E-05
1369,4.14E-05
1370,4.14E-05
1371,4.15E-05
1372,4.15E-05
1373,4.15E-05
1375,4.15E-05
1374,4.15E-05
1376,4.15E-05
1377,4.15E-05
1378,4.15E-05
1389,4.16E-05
1388,4.16E-05
1386,4.16E-05
1385,4.16E-05
1384,4.16E-05
1387,4.16E-05
1382,4.16E-05
1381,4.16E-05
1380,4.16E-05
1379,4.16E-05
1383,4.16E-05
